model,variant,accuracy,f1,latency_ms,euro_per_mail
claude35,ocr,0.92,0.9198717948717949,990.9802293777466,0.0010459199999999999
claude35,screenshot,0.96,0.9599358974358975,1886.2504625320435,0.00434298
gemini15,ocr,0.92,0.9198717948717949,441.409649848938,0.000369225
gemini15,screenshot,0.94,0.9399759903961584,2323.217601776123,0.00036184999999999993
gpt4o,ocr,0.9,0.8996386993175431,647.6885509490967,0.0015585000000000002
gpt4o,screenshot,0.84,0.8357963875205254,2944.01451587677,0.014545
